Acrylamide Conc. %,Bis-acrylamide conc %,Photo-initiator conc. %,Layer Height. (micron),Bottom Layer exposure time (s),Exposure time (s),Frequency (Hz),Storage modulus (Pa),Loss modulus (Pa)
10,0.2,2,30,50,6,0.01,2148.351318,311.438385
10,0.2,2,30,50,6,0.015848933,2439.765381,247.210968
10,0.2,2,30,50,6,0.025118863,2550.185059,218.6726074
10,0.2,2,30,50,6,0.039810721,2619.587158,189.100235
10,0.2,2,30,50,6,0.063095748,2674.219727,165.0541534
10,0.2,2,30,50,6,0.100000001,2721.459229,153.7145538
10,0.2,2,30,50,6,0.158489317,2764.387451,134.9875641
10,0.2,2,30,50,6,0.251188636,2799.995361,124.053833
10,0.2,2,30,50,6,0.398107171,2830.390625,114.5071335
10,0.2,2,30,50,6,0.630957365,2863.917969,110.6683884
10,0.2,2,30,50,6,1,2889.829346,108.8811264
10,0.2,2,30,50,6,1.584893227,2914.364746,111.9071579
10,0.2,2,30,50,6,2.511886358,2936.616455,118.9732895
10,0.2,2,30,50,6,3.981071472,2953.757813,128.8247375
10,0.2,2,30,50,6,6.309572697,2904.415283,130.0865326
10,0.2,2,30,50,6,10,2925.76709,139.806488
10,0.2,2,30,50,6,0.01,2019.041138,235.5497894
10,0.2,2,30,50,6,0.015848933,2134.80127,187.5473785
10,0.2,2,30,50,6,0.025118863,2205.598633,156.9636536
10,0.2,2,30,50,6,0.039810721,2258.318848,134.137085
10,0.2,2,30,50,6,0.063095748,2296.085938,118.6400604
10,0.2,2,30,50,6,0.100000001,2328.142578,106.8235626
10,0.2,2,30,50,6,0.158489317,2356.850098,97.89962769
10,0.2,2,30,50,6,0.251188636,2382.028809,90.95019531
10,0.2,2,30,50,6,0.398107171,2404.64502,86.67132568
10,0.2,2,30,50,6,0.630957365,2430.060547,83.94960785
10,0.2,2,30,50,6,1,2448.450684,84.04296875
10,0.2,2,30,50,6,1.584893227,2469.882813,88.11299133
10,0.2,2,30,50,6,2.511886358,2489.961426,95.26507568
10,0.2,2,30,50,6,3.981071472,2503.796143,105.4670639
10,0.2,2,30,50,6,6.309572697,2467.090088,112.2753906
10,0.2,2,30,50,6,10,2495.039551,96.1521759
10,0.2,2,30,50,6,0.01,2106.969727,345.0151367
10,0.2,2,30,50,6,0.015848933,2330.191895,211.9912262
10,0.2,2,30,50,6,0.025118863,2433.232178,167.7505493
10,0.2,2,30,50,6,0.039810721,2495.749512,139.276886
10,0.2,2,30,50,6,0.063095748,2542.908447,122.0379562
10,0.2,2,30,50,6,0.100000001,2577.302002,111.4805222
10,0.2,2,30,50,6,0.158489317,2609.293945,100.2962646
10,0.2,2,30,50,6,0.251188636,2633.946533,89.43761444
10,0.2,2,30,50,6,0.398107171,2661.0979,84.53887177
10,0.2,2,30,50,6,0.630957365,2679.700195,79.57699585
10,0.2,2,30,50,6,1,2700.413086,79.37548065
10,0.2,2,30,50,6,1.584893227,2718.455078,79.22820282
10,0.2,2,30,50,6,2.511886358,2738.174561,84.06710052
10,0.2,2,30,50,6,3.981071472,2743.928711,98.15802002
10,0.2,2,30,50,6,6.309572697,2685.107666,91.07966614
10,0.2,2,30,50,6,10,2723.19873,100.425209
